岗位薪资,数量
4500.0-7000.0,1
15000.0-21000.0,1
15000.0-16000.0,1
10001.0-16000.0,1
6130.0-7980.0,1
48000.0-72000.0,1
10001.0-17000.0,1
15833.0-20000.0,1
18000.0-40000.0,1
7200.0-8900.0,1
45000.0-65000.0,1
300000.0-600000.0,1
19001.0-23000.0,1
160000.0-260000.0,1
5800.0-8500.0,1
5200.0-7500.0,1
1001.0-2000.0,1
9001.0-18000.0,1
12001.0-15000.0,1
6000.0-18000.0,1
5000.0-5000.0,1
15000.0-40000.0,1
6001.0-11000.0,1
14000.0-26000.0,1
3333.0-5833.0,1
5600.0-8700.0,1
21000.0-38000.0,1
12000.0-23000.0,1
1900.0-3800.0,1
150000.0-250000.0,1
4500.0-8000.0,1
13000.0-21000.0,1
16000.0-20000.0,1
26000.0-50000.0,1
4500.0-9000.0,1
22000.0-40000.0,1
22000.0-30000.0,1
17500.0-30000.0,1
23333.0-35000.0,1
6666.0-10000.0,1
18001.0-25000.0,1
12500.0-20000.0,1
3000.0-3700.0,1
8333.0-20833.0,1
5000.0-6666.0,1
60000.0-75000.0,1
23000.0-35000.0,1
120000.0-150000.0,1
1000.0-4000.0,1
17000.0-30000.0,1
4000.0-5500.0,1
2000.0-2500.0,1
13000.0-16000.0,1
18000.0-28000.0,1
24000.0-30000.0,1
16000.0-28000.0,1
2000.0-5000.0,1
19000.0-20000.0,1
120000.0-200000.0,1
20000.0-22000.0,1
15000.0-28000.0,1
14000.0-18000.0,1
17000.0-20000.0,1
3500.0-4000.0,1
18000.0-21000.0,1
15000.0-22000.0,1
16000.0-32000.0,1
5833.0-10000.0,1
17500.0-22500.0,1
11000.0-22000.0,1
2000.0-10000.0,1
5000.0-12000.0,1
30001.0-40000.0,1
18001.0-35000.0,1
10833.0-18333.0,1
50001.0-100000.0,1
7500.0-9000.0,1
5500.0-8000.0,1
5.0-8.0,1
7400.0-10700.0,1
20833.0-21666.0,1
7500.0-11500.0,1
7800.0-8330.0,1
18000.0-22000.0,1
6000.0-7500.0,1
8000.0-18000.0,1
7200.0-8000.0,1
8800.0-9500.0,1
833.0-1666.0,1
8000.0-9500.0,1
40000.0-45000.0,1
6000.0-8900.0,1
15001.0-22000.0,1
5001.0-9000.0,1
25001.0-50000.0,1
13001.0-22000.0,1
13001.0-17000.0,1
7000.0-8500.0,1
5833.0-7500.0,1
12500.0-25000.0,1
833.0-2083.0,1
5500.0-6999.0,1
8500.0-14000.0,1
10001.0-11000.0,1
20000.0-37000.0,1
10001.0-14000.0,1
50.0-50.0,1
6500.0-8000.0,1
8333.0-11666.0,1
13001.0-19000.0,1
5800.0-6700.0,1
