2016-02,其他广告/会展职位 （全职） ,1
2016-02,其他建筑/装修职位 （全职） ,1
2016-02,其他技工/工人职位 （全职） ,1
2016-02,其他旅游职位 （全职） ,1
2016-02,其他汽车制造与服务 （全职） ,1
2016-02,其他汽车职位 （全职） ,1
2016-02,其他生产/制造职位 （全职） ,1
2016-02,其他编辑/出版职位 （全职） ,1
2016-02,其他职位,2
2016-02,其他职位 （全职） ,13
2016-02,其他行政/后勤职位 （全职） ,4
2016-02,其他计算机职位 （全职） ,2
2016-02,其他语种 （全职） ,1
2016-02,其他贸易/物流职位 （全职） ,2
2016-02,其他销售职位 （全职） ,5
2016-02,其他餐饮/酒店职位 （全职） ,3
2016-02,出纳 （全职） ,3
2016-02,前台/总机/接待 （全职） ,2
2016-02,化验/检验 （全职） ,4
2016-02,区域/渠道经理 （全职） ,2
2016-02,区域销售,1
2016-02,医药代表,1
2016-02,医药代表 （全职） ,2
2016-02,医药研发/生产/注册,1
2016-02,医院管理人员 （全职） ,1
2016-02,厨师/厨师长,1
2016-02,后勤,1
2016-02,后勤 （全职） ,1
2016-02,呼叫中心人员 （全职） ,1
2016-02,售前/售后服务,2
2016-02,售后支持主管/经理 （全职） ,1
2016-02,商务司机 （全职） ,1
2016-02,园艺/园林/景观设计师 （全职） ,1
2016-02,培训经理/主管,1
2016-02,外贸专员/助理,1
2016-02,娱乐厅服务员,1
2016-02,实习生 （全职） ,2
2016-02,客房服务员,1
2016-02,客服专员/助理,2
2016-02,客服专员/助理 （全职） ,4
2016-02,客运司机 （全职） ,1
2016-02,导游 （全职） ,1
2016-02,导购 （全职） ,2
2016-02,市场专员/助理,1
2016-02,市场专员/经理 （全职） ,1
2016-02,市场营销,2
