北京,707996
上海,591429
广东,548299
深圳,489245
浙江,482627
江苏,462497
山东,253655
福建,211023
四川,204181
湖北,193741
安徽,161425
湖南,128659
河南,108213
重庆,106334
陕西,105856
河北,93550
辽宁,91092
江西,89348
天津,82045
广西,57163
云南,44198
贵州,33283
山西,32923
内蒙古,32841
吉林,31010
甘肃,24043
新疆,20287
海南,18936
宁夏,13469
黑龙江,10241
青海,6455
西藏,3308
香港,89
台湾,9
澳门,7
