职位名称,出现次数
高级算法专家,1
数字政府高级产品经理,1
推荐算法,1
产品经理（数据产品、平台产品）,1
产品总监（工会向）,1
产品经理-数字工地项目_66421,1
产品支撑经理,1
产品行销经理,1
数据稽核负责人,1
产品经理（大数据项目）,1
JAVA大数据工程师,1
解决方案工程师,1
大数据平台研发专家（10%时间在北京）,1
咨询顾问（电网方向）,1
MES架构师,1
置业顾问,1
院校拓展经理（京人教育招募）,1
大语言模型Post-Training算法实习生,1
售前顾问,1
售前工程师,1
产品支撑经理（国企/周末双休）—外派北京,1
宽带设计师,1
大数据建模工程师,1
大数据应用开发工程师,1
资深大数据专家（财务系统）,1
大数据开发-信保,1
大数据应用高级研发工程师,1
大数据开发实习生(J10264),1
交通大数据分析工程师,1
产品经理（大数据方向学信本）,1
大数据标注工程师,1
大数据解决方案经理,1
大数据咨询专家,1
通信大数据开发,1
文旅大数据产品经理,1
金融风控数据销售,1
前端工程师,1
运维平台产品经理,1
运维工程师（学信可查本）,1
大数据高级开发工程师,1
大数据机器学习研发工程师,1
大数据分析助理,1
产品经理助理,1
项目经理-大数据方向,1
Python大数据/大模型研发工程师,1
大数据应用分析,1
大数据开发运维工程师,1
大数据架构 &大数据开发工程师,1
云粒智慧-产品经理（公安交通）,1
项目管理培训生,1
研究员,1
智慧城市规划师（工程师）,1
ERP解决方案顾问,1
"Hadoop大数据讲师，Hadoop,Storm,Spark",1
大数据分析岗1329,1
项目助理实习生-北京,1
工业大数据产品经理,1
测试开发,1
分公司总经理,1
数据测试（证券行业）,1
大数据科学家,1
算法总监,1
产研负责人（TOG/TOB）,1
深度学习,1
Java中高级开发工程师,1
十二、农业大数据领域产品经理,1
高级精算产品经理,1
大数据安全管理工程师,1
软件工程师,1
大数据开发-ZXB,1
AI算法工程师,1
测试工程师大数据平台测试工程师,1
大数据开发工程师（保险）,1
java大数据开发工程师,1
Java开发（大数据模型，线下面试，学信本）,1
大数据研发（Java）(J14375),1
电力数字化审计五险一金双休年终奖体检年假,1
金融行业资深销售经理-北京 (MJ000511),1
科研研究员,1
结算专员(J10344),1
售前技术总监,1
业务产品经理,1
资深系统架构师,1
AI交付工程师 J10501,1
行业运营经理,1
销售主管,1
业务顾问,1
阿里云 业务顾问,1
需求分析师（电力电量统计分析方向）,1
视觉平面设计师,1
数据治理（金融）,1
高级数据分析师,1
用户研究总监,1
信号处理工程师,1
无责底薪15k！金融大客户销售经理,1
软件测试,1
APP产品经理,1
招聘专家,1
（非外包）Java软件产品开发工程师,1
阿里云运维工程师,1
高级爬虫工程师,1
数据安全管理员,1
高级风险模型经理（北京）,1
电量辅助交易算法工程师（电力市场交易）,1
数据治理,1
php开发工程师,1
数据分析高级咨询顾问,1
系统架构师,1
解决方案,1
业务咨询顾问（电力行业）,1
Java技术专家（搜推模型样本数据平台方向）,1
Python,1
数字化运营顾问,1
销售经理（B端业务）,1
云计算工程师-CAS-昌平区,1
数仓开发|需有金融经验,1
【校招】算法工程师（JK） (MJ000033),1
咨询总监,1
金融教研总监,1
数智化咨询工程师（北京）,1
数据分析师（政务/财务）,1
政府关系专家,1
风控策略专员（币圈交易所）,1
量化研究实习生,1
渠道销售,1
售前工程师（电力行业）,1
python爬虫工程师,1
系统运维开发工程师,1
解决方案总监,1
短视频编导与制作,1
ai项目经理-数据治理（base北京）,1
后端开发工程师（北京）,1
网络安全研发总监,1
实施工程,1
java后端开发,1
信贷专员,1
软件架构师（高级） (MJ000431),1
AI数据工程师,1
智算中心IDC设备销售经理,1
业务咨询,1
数仓开发工程师（外包）,1
大客户经理（北京）,1
算法负责人,1
高级java开发,1
产品解决方案总监,1
盒马鲜生招聘店员/营业员,1
咨询顾问（人工智能方向）,1
NLP大模型算法专家（总部岗位）,1
安全工程师（SDL方向）,1
ai平台高级研发工程师,1
Java技术专家-北京/上海,1
UI设计师(A33761),1
金融量化分析师,1
材料撰写咨询顾问,1
Java工程师（信贷经验）,1
电力行业咨询顾问（AI方向）,1
数据仓库工程师-外包天弘基金,1
业务架构咨询顾问,1
数字化业务专家,1
Java后端开发工程师,1
研发总经理（合肥）,1
数据分析处理专员,1
数据模型工程师,1
用户运营专家（许昌或郑州）,1
技术研发工程师【base北京or深圳】,1
风控建模工程师,1
养老规划师（提供资源加高薪）,1
运维工程师（偏硬件）,1
信息安全兼数据管理岗（财富管理总部）,1
监测预演及研判工程师（数据安全）,1
高级大数据开发-用户画像,1
大客户销售代表（双休 高薪 龙头）,1
信披合规咨询（二级市场）,1
doris开发工程师,1
mysql高级dba,1
数据产品经理(BI方向),1
大数据研发,1
大数据负责人,1
大数据sre工程师,1
大数据研发总监,1
产品总监（顾问）,1
大数据技术服务专家,1
工业互联网平台实施工程师,1
上市公司链家总部直聘高薪销售岗位,1
全栈工程师,1
开发工程师（系统调优方向）,1
专利代理人-电学,1
咨询经理-财务咨询方向,1
咨询项目经理,1
销售合伙人,1
监测预警及研判工程师（数据安全）,1
SCI论文编辑,1
大数据咨询师/项目经理,1
房产销售经纪人,1
医学大数据研究员/算法专家——影像方向,1
大数据信息开发,1
大数据技术架构师,1
大数据售前工程师,1
AI（深度学习，大数据）,1
中级大数据开发,1
实时大数据开发,1
北京-大数据运维工程师-外协 (MJ002245),1
高级大数据开发工程师（偏运维）,1
产品经理（农业农村大数据）,1
CTO助理,1
JAVA工程师,1
国网驻场产品经理,1
研究员助理,1
市场投标专员,1
SCI/SSCI兼职编辑,1
智慧解决方案架构师（北京、合肥）,1
产品岗-身份核验方向（数据产品经理）,1
系统开发工程师,1
商务经理,1
产品经理（供应链金融系统）,1
物联技术经理,1
监测预警及研判工程师(数据安全）,1
大数据/算法工程师,1
大数据开发工程师（数据智能方向）,1
大数据整理软件工程师（材料）,1
环保大数据算法高级研发,1
大数据架构师(J10725),1
大数据挖掘工程师,1
【英语好】JAVA大数据开发,1
大数据开发（建投）,1
大数据测试工程师,1
大数据安全产品经理,1
大数据应用开发专家,1
中高级大数据开发,1
高级大数据分析师,1
大数据平台开发,1
大数据高级Java开发工程师,1
大数据营销方案专家,1
大数据应用工程师-北京-00091,1
大数据开发/数据开发/,1
大数据架构专家,1
中级大数据架构师,1
高德Amap-大数据挖掘专家-数据业务,1
大数据研发与架构专家,1
AI产品经理,1
数据实施实施工程师,1
人工智能技术总监,1
非冯诺依曼计算架构研究,1
数据研发工程师,1
图像算法工程师,1
AI4ES技术总监（能源存储行业垂直模型方向,1
PHP工程师,1
运营专员（咨询及售前支持部-内部运营）,1
大数据产品助理,1
大数据审计（ETL&大数据开发&审计专区）,1
解决方案工程师（AI/大数据产品方向）,1
广告大数据平台研发工程师,1
高级大数据测试工程师,1
大数据JAVA研发工程师,1
请把大数据推给有缘人 无责底薪7000+包住宿,1
产品经理（大数据产品）-北京,1
解决方案-大数据、AI方向,1
大数据仓库工程师,1
资深大数据专家,1
python大数据,1
产品经理-YYSCP,1
阿里高德共享出行算法专家/高级算法工程师,1
商业数据分析师,1
地图图片标注,1
爬虫数据采集工程师,1
商业化产品经理,1
大数据平台测试工程师,1
项目专员,1
大数据产品总监,1
JAVA开发工程师 大数据平台建设或信贷经验,1
大数据开发工程师（北京）-2025校招,1
广告大数据研发工程师-营销科学,1
运维售后工程师-大数据日志分析,1
大数据开发工程师（数据中台）,1
国别产业大数据研究员（兼合伙人）,1
记者-技术方向（大数据/人工智能）,1
大数据开发（消费金融项目）,1
急聘！大数据测试工程师,1
大数据开发工程师 (MJ000429),1
大数据分析科研助理,1
大数据开发工程师(远程办公）,1
中高级大数据开发工程师（中信银行）,1
审计部长,1
智算产品经理（人工智能/大数据方向）,1
大数据开发总监,1
数据治理顾问,1
交通数据挖掘,1
Python开发工程师（初/中级）,1
信息化工程师,1
中医医师,1
大数据中级开发工程师,1
智慧旅游项目总监,1
大数据讲师,1
产业大数据平台系统分析员,1
AI人工智能工程师,1
大数据存储专家,1
大数据及引擎工程师/专家-云服务,1
大数据产品经理（必备PMP证书）,1
中信银行大数据开发,1
大数据产品专家,1
阿里云CIO大数据研发,1
大数据开发工程师-广告业务,1
大数据技术总监/架构师 (京东全资),1
大数据项目经理（央企福利好）,1
大数据平台高级工程师(J6569),1
大数据产品经理 (MJ000348),1
资深大数据工程师,1
AI大数据产品 销售经理/主管,1
大数据开发-五险一金-线上面试,1
大数据推荐的理想职位 五险一金全都有,1
资深测试工程师+安全/大数据测试经验,1
云平台中间件运维工程师,1
高级大数据算法工程师,1
智能信息-数据智能分析工程师/专家-北京,1
大数据平台运营专员,1
金融管培生-量化方向,1
.NET Core（ai大数据项目）,1
技术支持工程师,1
数据后端工程师,1
高级UI设计师,1
政府关系经理- GR,1
后端开发工程师（教育）,1
安全负责人,1
GPU解决方案架构师,1
爬虫工程师,1
资深大数据开发工程师（回乡_线上面试）,1
大数据销售经理/总监（有稳定客源）,1
智能安全大数据平台架构师,1
气象大数据AI工程师,1
大数据平台开发工程师--容器化开发能力,1
大数据开发工程师（本单位直招、非外包）,1
位置大数据商业化算法高级工程师 (北京),1
大数据开发工程师-商业化-北/上/广/深/杭,1
大数据平台负责人,1
亚马逊云技术支持工程师（大数据）,1
产品经理 (MJ001949),1
生物信息工程师,1
大数据分析师（BJ）,1
运维负责人【大数据/网络运维】,1
医疗大数据产品总监,1
大数据平台工程师,1
大数据运维开发工程师,1
java开发经理（会大数据）,1
运维工程师（大数据/数据库）,1
大数据工程师 / ETL 工程师,1
前端开发工程师（大数据项目优先）,1
flink大数据开发【会Java开发】,1
大数据运营专员,1
