月份,职位数量
2022-08,286
2022-09,922
2022-10,772
2022-11,877
2022-12,651
2023-01,499
2023-02,1056
2023-03,900
2023-04,1082
2023-05,866
2023-06,765
2023-07,427
2023-08,114
2023-09,168
2023-10,189
2023-11,201
2023-12,225
