月份,职位数量
2023-01,4200
2023-02,3800
2023-03,4600
2023-04,5000
2023-05,5300
2023-06,5900
2023-07,5600
2023-08,5200
2023-09,5500
2023-10,5900
2023-12,6200
2023-12,5800 
