月份,职位数量
2022-12,26
2023-01,914
2023-02,1405
2023-03,1320
2023-04,1636
2023-05,1596
2023-06,1261
2023-07,622
2023-08,180
2023-09,211
2023-10,287
2023-11,247
2023-12,295
