月份,职位数量
2022-07,671
2022-08,920
2022-09,715
2022-10,656
2022-11,908
2022-12,529
2023-01,512
2023-02,754
2023-03,743
2023-04,795
2023-05,719
2023-06,713
2023-07,321
2023-08,167
2023-09,200
2023-10,248
2023-11,248
2023-12,181
