月份,职位数量
2020-12,85
2021-01,194
2021-02,190
2021-03,366
2021-04,466
2021-05,488
2021-06,565
2021-07,1674
2021-08,1080
2021-09,589
2021-11,9
2021-12,297
2022-01,255
2022-02,27
2022-03,237
2022-04,141
2022-05,120
2022-06,250
2022-07,469
2022-08,287
2022-09,196
2022-10,136
2022-11,116
2022-12,129
2023-01,158
2023-02,297
2023-03,235
2023-04,269
2023-05,269
2023-06,199
2023-07,134
2023-08,9
2023-09,14
2023-10,23
2023-11,15
2023-12,12
