月份,职位数量
2022-03,80
2022-04,373
2022-05,301
2022-06,563
2022-07,1621
2022-08,775
2022-09,668
2022-10,530
2022-11,577
2022-12,403
2023-01,335
2023-02,572
2023-03,653
2023-04,726
2023-05,729
2023-06,585
2023-07,308
2023-08,25
2023-09,26
2023-10,68
2023-11,51
2023-12,31
