月份,职位数量
2022-09,949
2022-10,949
2022-11,1152
2022-12,692
2023-01,693
2023-02,1027
2023-03,834
2023-04,1046
2023-05,888
2023-06,779
2023-07,360
2023-08,82
2023-09,116
2023-10,128
2023-11,125
2023-12,180
