月份,职位数量
2021-09,178
2021-10,2
2021-11,3
2021-12,700
2022-01,622
2022-02,155
2022-03,528
2022-04,368
2022-05,276
2022-06,459
2022-07,979
2022-08,669
2022-09,515
2022-10,447
2022-11,503
2022-12,377
2023-01,229
2023-02,567
2023-03,427
2023-04,521
2023-05,481
2023-06,492
2023-07,234
2023-08,45
2023-09,46
2023-10,46
2023-11,57
2023-12,74
