月份,职位数量
2021-08,448
2021-09,1308
2021-12,375
2022-01,473
2022-02,28
2022-03,358
2022-04,280
2022-05,256
2022-06,361
2022-07,769
2022-08,495
2022-09,426
2022-10,374
2022-11,520
2022-12,297
2023-01,238
2023-02,383
2023-03,385
2023-04,525
2023-05,478
2023-06,380
2023-07,194
2023-08,125
2023-09,102
2023-10,167
2023-11,135
2023-12,120
