月份,职位数量
2022-12,840
2023-01,958
2023-02,1370
2023-03,1387
2023-04,1437
2023-05,1526
2023-06,1239
2023-07,593
2023-08,98
2023-09,111
2023-10,138
2023-11,122
2023-12,181
