月份,职位数量
2022-11,996
2022-12,784
2023-01,641
2023-02,1078
2023-03,1106
2023-04,1239
2023-05,1095
2023-06,965
2023-07,535
2023-08,224
2023-09,311
2023-10,364
2023-11,363
2023-12,299
