月份,职位数量
2021-07,1375
2021-08,1393
2021-09,699
2021-10,15
2021-11,18
2021-12,469
2022-01,428
2022-02,66
2022-03,410
2022-04,227
2022-05,151
2022-06,370
2022-07,711
2022-08,460
2022-09,337
2022-10,288
2022-11,323
2022-12,206
2023-01,148
2023-02,326
2023-03,332
2023-04,423
2023-05,296
2023-06,274
2023-07,123
2023-08,19
2023-09,18
2023-10,36
2023-11,30
2023-12,29
