月份,职位数量
2022-12,507
2023-01,846
2023-02,1354
2023-03,1206
2023-04,1403
2023-05,1325
2023-06,1194
2023-07,646
2023-08,239
2023-09,326
2023-10,383
2023-11,323
2023-12,248
