月份,职位数量
2021-07,1593
2021-08,1160
2021-09,698
2021-10,6
2021-11,4
2021-12,477
2022-01,467
2022-02,54
2022-03,319
2022-04,180
2022-05,219
2022-06,379
2022-07,749
2022-08,422
2022-09,284
2022-10,305
2022-11,353
2022-12,262
2023-01,173
2023-02,287
2023-03,331
2023-04,340
2023-05,321
2023-06,286
2023-07,133
2023-08,31
2023-09,56
2023-10,45
2023-11,23
2023-12,43
