月份,职位数量
2021-04,71
2021-05,319
2021-06,478
2021-07,1843
2021-08,1064
2021-09,529
2021-11,1
2021-12,396
2022-01,312
2022-02,47
2022-03,306
2022-04,274
2022-05,204
2022-06,347
2022-07,660
2022-08,358
2022-09,335
2022-10,269
2022-11,181
2022-12,178
2023-01,173
2023-02,290
2023-03,317
2023-04,273
2023-05,285
2023-06,259
2023-07,98
2023-08,15
2023-09,10
2023-10,59
2023-11,28
2023-12,21
