月份,职位数量
2021-06,189
2021-07,2149
2021-08,1052
2021-09,1050
2021-11,4
2021-12,400
2022-01,357
2022-02,65
2022-03,270
2022-04,239
2022-05,181
2022-06,273
2022-07,647
2022-08,329
2022-09,300
2022-10,286
2022-11,377
2022-12,197
2023-01,213
2023-02,267
2023-03,234
2023-04,248
2023-05,299
2023-06,185
2023-07,93
2023-08,15
2023-09,11
2023-10,31
2023-11,13
2023-12,26
