月份,职位数量
2021-08,1196
2021-09,772
2021-11,5
2021-12,424
2022-01,476
2022-02,41
2022-03,457
2022-04,322
2022-05,180
2022-06,405
2022-07,760
2022-08,573
2022-09,433
2022-10,315
2022-11,470
2022-12,369
2023-01,277
2023-02,465
2023-03,418
2023-04,382
2023-05,436
2023-06,353
2023-07,263
2023-08,30
2023-09,34
2023-10,36
2023-11,52
2023-12,56
