月份,职位数量
2022-06,31
2022-07,1667
2022-08,924
2022-09,756
2022-10,629
2022-11,825
2022-12,473
2023-01,436
2023-02,696
2023-03,749
2023-04,741
2023-05,736
2023-06,562
2023-07,245
2023-08,64
2023-09,91
2023-10,99
2023-11,157
2023-12,119
