月份,职位数量
2023-01,5200
2023-02,4800
2023-03,5800
2023-04,6200
2023-05,6500
2023-06,7100
2023-07,6900
2023-08,6400
2023-09,6800
2023-10,7200
2023-11,7500
2023-12,7000
