月份,职位数量
2018-05,15
2018-06,5
2018-07,3
2018-08,4
2018-09,3
2020-06,1
2021-04,2
2021-05,1
2021-06,2
2021-07,14
2021-08,8
2021-09,7
2022-10,1
2023-04,4
2023-06,2
2023-07,2
2023-08,3
2023-10,2
2023-11,3
2023-12,7
