月份,职位数量
2022-08,917
2022-09,931
2022-10,818
2022-11,1024
2022-12,738
2023-01,666
2023-02,909
2023-03,786
2023-04,836
2023-05,835
2023-06,709
2023-07,338
2023-08,83
2023-09,71
2023-10,109
2023-11,96
2023-12,134
