月份,职位数量
2021-09,1525
2021-10,2
2021-12,446
2022-01,632
2022-02,44
2022-03,375
2022-04,319
2022-05,205
2022-06,353
2022-07,832
2022-08,513
2022-09,387
2022-10,372
2022-11,592
2022-12,262
2023-01,255
2023-02,429
2023-03,395
2023-04,530
2023-05,470
2023-06,361
2023-07,197
2023-08,82
2023-09,84
2023-10,97
2023-11,123
2023-12,118
